TOKEN		OUTPUT			CORRECT
lægherstad			lægherstad (0)			lägherstaþer
at			ägha (0.5)			at
natvaku			natvaku (0)			natvaka
præster			præster (0)			präster
ær			ær (0)			vara
skyldugher			skyldugher (0)			skyldogher
gest			gest (0)			gäster
at			ägha (0.5)			at
bondæ			bondæ (0)			bonde
þa			þiggia (0.5)			þa
a			af (0.666667)			ägha
pik			pik (0)			piker
ok			uk (1)			ok
screppu			screppu (0)			skräppa
ok			uk (1)			ok
læghærstad			læghærstad (0)			lägherstaþer
sitær			sitær (0)			sitia
biscuper			biscuper (0)			biskoper
soknæ			soknæ (0)			sokn
bondi			bondi (0)			bonde
biþær			biþær (0)			biþia
sik			sighia (0.5)			sik
þa			þiggia (0.5)			þa
ær			ær (0)			vara
skyldugher			skyldugher (0)			skyldogher
at			ägha (0.5)			at
haui			haui (0)			hava
half			half (0)			halver
mark			margher (0.5)			mark
firir			firir (0)			for
annars			annars (0)			annar
prests			prests (0)			präster
ber			ber (0)			bäria
ok			uk (1)			ok
ok			uk (1)			ok
læs			læs (0)			läsa
iuir			iuir (0)			ivir
folké			folké (0)			folk
þa			þiggia (0.5)			þa
ær			ær (0)			vara
sakar			sakar (0)			saker
at			ägha (0.5)			at
marchum			marchum (0)			mark
þrim			þrim (0)			þrir
gialdi			gialdi (0)			giälda
öræ			öræ (0)			öre
biscupi			biscupi (0)			biskoper
ok			uk (1)			ok
öræ			öræ (0)			öre
presti			presti (0)			präster
a			af (0.666667)			a
acri			acri (0)			aker
tyundæ			tyundæ (0)			tionde
scipta			scipta (0)			skipta
tacher			tacher (0)			taker
kiurkiæ			kiurkiæ (0)			kirkia
ær			ær (0)			vara
til vigþ			til vigþ (0)			tilvighia
sciptæ			sciptæ (0)			skipta
þrer			þrer (0)			þrir
lötæ			lötæ (0)			luter
en			än (0.666667)			en
a			af (0.666667)			ägha
biscopær			biscopær (0)			biskoper
annan			annan (0)			annar
a			af (0.666667)			ägha
þridia			þridia (0)			þriþi
væslir			væslir (0)			väsal
mæn			mæn (0)			maþer
a			af (0.666667)			ägha
kuikkæn			kuikkæn (0)			qvikker
tyundæ			tyundæ (0)			tionde
ok			uk (1)			ok
offær			offær (0)			offer
þet			þet (0)			þän
cruszu fotæ			cruszu fotæ (0)			krussu foter
kombær			kombær (0)			koma
a			af (0.666667)			a
langafreadaghi			langafreadaghi (0)			langa freadagher
ok			uk (1)			ok
uill			uill (0)			vilia
annærstagd			annærstagd (0)			annars stads
læghærstað			læghærstað (0)			lägherstaþer
hauæ			hauæ (0)			hava
þa			þiggia (0.5)			þa
lik			like (0.5)			lik
uighia			uighia (0)			vighia
ok			uk (1)			ok
gardsliz			gardsliz (0)			gards liþ
eighi			eighi (0)			eigh
længræ			længræ (0)			langer
þa			þiggia (0.5)			þa
halvæn			halvæn (0)			halvan
læghærstad			læghærstad (0)			lägherstaþer
hauæ			hauæ (0)			hava
ok			uk (1)			ok
haluæn			haluæn (0)			halver
þén			þén (0)			þän
uid			uid (0)			viþ
liki			liki (0)			lik
takær			takær (0)			taka
æn			æn (0)			än
presti			presti (0)			präster
gyuæ			gyuæ (0)			giva
þet			þet (0)			þän
ær			ær (0)			vara
skæppur			skæppur (0)			skäppa
ællær			ællær (0)			älla
pænningæ			pænningæ (0)			pänninger
a			af (0.666667)			ägha
by			bi (0.5)			byr
ok			uk (1)			ok
afsædhum			afsædhum (0)			afsädhum
þa			þiggia (0.5)			þa
tyundæ			tyundæ (0)			tionde
lucæ			lucæ (0)			luka
presti			presti (0)			präster
ok			uk (1)			ok
kiurkiu			kiurkiu (0)			kirkia
ok			uk (1)			ok
kirkiugarþi			kirkiugarþi (0)			kirkio garþer
varþæ			varþæ (0)			varþa
aker			oker (1)			aker
byiar			byiar (0)			byr
þa			þiggia (0.5)			þa
præstins			præstins (0)			präster
tiundæ			tiundæ (0)			tionde
lætæ			lætæ (0)			lata
aftær standæ			aftær standæ (0)			äptirstanda
allæn			allæn (0)			alder
ællar			ællar (0)			ällar
bort. flytia			bort. flytia (0)			*bortflytia
bor			bor (0)			boa
bondi			bondi (0)			bonde
a			af (0.666667)			a
odmarkær			odmarkær (0)			öþemark
söki			söki (0)			sökia
þingæt			þingæt (0)			þingat
kirkiu			kirkiu (0)			kirkia
ær			ær (0)			är
næst			næst (0)			näst
varæ			varæ (0)			vara
æn			æn (0)			än
eighi			eighi (0)			eigh
landboæ			landboæ (0)			landboe
nöghæ			nöghæ (0)			nödhga
at			ägha (0.5)			at
söchia			söchia (0)			sökia
kirkiu by			kirkiu by (0)			kirkio byr
annarrær			annarrær (0)			annar
kirkiu			kirkiu (0)			kirkia
æn			æn (0)			än
vaþa bloð			vaþa bloð (0)			vaþa bloþ
comber			comber (0)			koma
kirkiugard			kirkiugard (0)			kirkio garþer
þa			þiggia (0.5)			þa
torvu			torvu (0)			torva
skæræ			skæræ (0)			skära
mæð			mæð (0)			mäþ
bloþi			bloþi (0)			bloþ
kastæ			kastæ (0)			kasta
kirkiugærði			kirkiugærði (0)			kirkio garþer
ok			uk (1)			ok
kirkiugærþér			kirkiugærþér (0)			kirkio garþer
ær			ær (0)			vara
ækki			ækki (0)			äkke
vskir			vskir (0)			oskir
hældær			hældær (0)			hälder
præstær			præstær (0)			präster
ængin			ængin (0)			ängin
fra			fräghna (1)			fran
kiurkiu			kiurkiu (0)			kirkia
vrakæ			vrakæ (0)			vraka
biscopær			biscopær (0)			biskoper
havir			havir (0)			hava
forboþét			forboþét (0)			forbiuþa
vrækæ			vrækæ (0)			vräka
böndær			böndær (0)			bonde
fridlösæn			fridlösæn (0)			friþlös
æn			æn (0)			än
þer			þär (0.75)			þän
uilia			uilia (0)			vilia
orsaker			orsaker (0)			ursaker
ær			ær (0)			vara
vm			vm (0)			um
þat			þat (0)			þän
adam			adam (0)			Adam
war			var (0.666667)			vara
første			første (0)			fyrster
iordh			iordh (0)			iorþ
eua			eua (0)			Eva
ena			ena (0)			en
riffwi			riffwi (0)			rif
j			j (0)			i
sidho			sidho (0)			siþa
the			til (0.666667)			þän
waro			var (1)			vara
æmskøt			æmskøt (0)			iämskyt
waxin			vaxa (1)			växa
tilhørir			tilhørir (0)			tilhöra
mænniskio natur			mænniskio natur (0)			människio natur
tha			þo (0.666667)			þa
hon			han (1)			hon
ær			ær (0)			vara
xxx			xxx (0)			30
ara			vara (1)			ar
moyses			moyses (0)			Mose
sighir			sighir (0)			sighia
fam			far (1)			fäm
ordhom			ordhom (0)			orþ
methodius			methodius (0)			Methodios
martyr			martyr (0)			martir
sighir			sighir (0)			sighia
æpthir thy som			æpthir thy som (0)			äptir þy sum
thæn			thæn (0)			þän
hælge			hælge (0)			helagher
andhe			andhe (0)			ande
wisadhe			wisadhe (0)			visa
thæn tima			thæn tima (0)			þän tima
war			var (0.666667)			vara
a			af (0.666667)			a
bønom			bønom (0)			bön
thæn thima			thæn thima (0)			þän tima
fanghen			fanghen (0)			fa
hæfftom			hæfftom (0)			häpt
iærnom			iærnom (0)			iärn
sighir			sighir (0)			sighia
methodius			methodius (0)			Methodios
a			af (0.666667)			a
fæmptande			fæmptande (0)			fämtande
are			are (0)			ar
sidhan			sidhan (0)			siþan
the			til (0.666667)			þän
skapadh			skapadh (0)			skapa
the			til (0.666667)			þän
waro			var (1)			vara
wtkastadh			wtkastadh (0)			utkasta
tha			þo (0.666667)			þa
fødde			fødde (0)			föþa
eua			eua (0)			Eva
adam			adam (0)			Adam
kalladhe			kalladhe (0)			kalla
cayn			cayn (0)			Kain
æpthe			æpthe (0)			äptir
tima			tima (0)			time
sidan			sidan (0)			siþan
fødde			fødde (0)			föþa
hon			han (1)			hon
dotter			dotter (0)			dottir
kallade			kallade (0)			kalla
hona			han (1)			hon
calmana			calmana (0)			Kalmana
thæn thima			thæn thima (0)			þän tima
xxx			xxx (0)			30
lidhin			lidhin (0)			liþa
sidhan			sidhan (0)			siþan
adam			adam (0)			Adam
eua			eua (0)			Eva
waro			var (1)			vara
skapadh			skapadh (0)			skapa
tha			þo (0.666667)			þa
fødhe			fødhe (0)			föþa
eua			eua (0)			Eva
adam			adam (0)			Adam
annan			annan (0)			annar
kallade			kallade (0)			kalla
abel			abel (0)			Abel
ther næst			ther næst (0)			þär näst
fødde			fødde (0)			föþa
hon			han (1)			hon
abels			abels (0)			Abel
heth			heter (1)			heta
delbora			delbora (0)			Delbora
thæn thima			thæn thima (0)			þän tima
cayn			cayn (0)			Kain
war			var (0.666667)			vara
c			c (0)			100
aara			ara (1)			ar
xv			xv (0)			15
ara			vara (1)			ar
abel			abel (0)			Abel
war			var (0.666667)			vara
c			c (0)			100
ara			vara (1)			ar
tha			þo (0.666667)			þa
drap			drap (0)			dräpa
cayn			cayn (0)			Kain
abel			abel (0)			Abel
strabus			strabus (0)			Strabus
sighir			sighir (0)			sighia
en			än (0.666667)			en
wis			wis (0)			vis
mæstare			mæstare (0)			mästare
at			ägha (0.5)			at
adam			adam (0)			Adam
eua			eua (0)			Eva
græto			græto (0)			grata
abels			abels (0)			Abel
dødh			dødh (0)			döþer
c			c (0)			100
renliffwe			renliffwe (0)			*renlif
haffdo			haffdo (0)			hava
the			til (0.666667)			þän
sidhan			sidhan (0)			siþan
naturu bland			naturu bland (0)			naturo bland
før æn			før æn (0)			fyr än
gudh			gudh (0)			guþ
siælffwir			siælffwir (0)			själver
wisadhe			wisadhe (0)			visa
at			ägha (0.5)			at
gudz			gudz (0)			guþ
ihesus			ihesus (0)			Jesus
christus			christus (0)			Kristus
fødas			fødas (0)			föþa
ens			ens (0)			en
swna			swna (0)			son
slækt			slækt (0)			släkt
æn			æn (0)			än
war			var (0.666667)			vara
tha			þo (0.666667)			þa
oføddhir			oføddhir (0)			ofödder
sidhan			sidhan (0)			siþan
waro			var (1)			vara
the			til (0.666667)			þän
badhen			badhen (0)			baþir
føddo			føddo (0)			föþa
kallado			kallado (0)			kalla
seth			sea (0.5)			Set
cc			cc (0)			200
xxx			xxx (0)			30
ara			vara (1)			ar
the			til (0.666667)			þän
adambir			adambir (0)			Adam
eua			eua (0)			Eva
tha			þo (0.666667)			þa
seth			sea (0.5)			Set
war			var (0.666667)			vara
føddir			føddir (0)			föþa
xxx			xxx (0)			30
xxx			xxx (0)			30
døtter			døtter (0)			dottir
fingho			fingho (0)			fa
the			til (0.666667)			þän
adam			adam (0)			Adam
eua			eua (0)			Eva
wtan			wtan (0)			utan
abel			abel (0)			Abel
cayn			cayn (0)			Kain
æn thot hwaro at			æn thot hwaro at (0)			än þo at hvaro at
moyses			moyses (0)			Mose
genesi			genesi (0)			Genesis
talar			talar (0)			tala
enkte			änke (1)			ängin
thy at			thy at (0)			þy at
skyndade			skyndade (0)			skynda+sik
sik			sighia (0.5)			sik
noe			noe (0)			Noa
abraham			abraham (0)			Abraham
ensampne			ensampne (0)			ensamin
sæth			sæth (0)			Set
slækt			slækt (0)			släkt
wiliom			wiliom (0)			vilia
wi			iak (1)			vir
først			først (0)			fyr
ledha			ledha (0)			leþa
hænna			hænna (0)			hon
rækningh			rækningh (0)			räkning
hærra			hærra (0)			härra
siælffwan			siælffwan (0)			själver
alt			alt (0)			alder
thz			thz (0)			þän
føddis			føddis (0)			föþa
adam			adam (0)			Adam
ewa			ewa (0)			Eva
tappadis			tappadis (0)			tapa
noe			noe (0)			Noa
flodh			flodh (0)			floþ
wtan			wtan (0)			utan
noe			noe (0)			Noa
føddos			føddos (0)			föþa
wt aff			wt aff (0)			ut af
seth			sea (0.5)			Set
affkommo			affkommo (0)			afkoma
sæth			sæth (0)			Set
afflade			afflade (0)			afla
kallade			kallade (0)			kalla
enos			enos (0)			Enosh
enos			enos (0)			Enosh
caynan			caynan (0)			Kenan
caynan			caynan (0)			Kenan
malaleel			malaleel (0)			Mahalalel
malaleel			malaleel (0)			Mahalalel
iareth			iareth (0)			Jered
jareth			jareth (0)			Jered
enoch			enoch (0)			Enok
thænne			thænne (0)			þänne
enoch			enoch (0)			Enok
war			var (0.666667)			vara
badhe			badhe (0)			baþe
godhir			godhir (0)			goþer
hitte			hitte (0)			hitta
gøra			gøra (0)			göra
først			først (0)			fyr
bokstaffwa			bokstaffwa (0)			bokstaver
skreff			skreff (0)			skriva
wisdom			wisdom (0)			visdomber
bøkir			bøkir (0)			bok
war			var (0.666667)			vara
førdhir			førdhir (0)			föra
liffwandis			liffwandis (0)			liva
liffwir			liffwir (0)			liva
æn			æn (0)			än
kombir			kombir (0)			koma+ater
atir			atir (0)			ater
fyri			fyri (0)			for
doma dagh			doma dagh (0)			doma dagher
thæn thima			thæn thima (0)			þän tima
enoch			enoch (0)			Enok
war			var (0.666667)			vara
ccc			ccc (0)			300
aara			ara (1)			ar
xviij			xviij (0)			18
tha			þo (0.666667)			þa
adam			adam (0)			Adam
ældhir fadhir			ældhir fadhir (0)			alderfadher
m			m (0)			1000
ara			vara (1)			ar
xxx			xxx (0)			30
liffdhe			liffdhe (0)			liva
j			j (0)			i
tæssa			tæssa (0)			þänne
hem			hember (1)			hem
længe			længe (0)			länge
adam			adam (0)			Adam
the			til (0.666667)			þän
sighia			sea (1)			sighia
at			ägha (0.5)			at
mathusale			mathusale (0)			Methusalem
liffdhe			liffdhe (0)			liva
længhir			længhir (0)			länge
the			til (0.666667)			þän
wrækas			wrækas (0)			vräka+ater
athir			athir (0)			ater
wi			iak (1)			vir
ræknom			ræknom (0)			räkna
aldhir			aldhir (0)			alder
xl			xl (0)			40
vij			vij (0)			7
liffdhe			liffdhe (0)			liva
enoc			enoc (0)			Enok
tæssa			tæssa (0)			þänne
hems			hember (1)			hem
før æn			før æn (0)			fyr än
førdis			førdis (0)			föra
sidhan			sidhan (0)			siþan
adam			adam (0)			Adam
forfadhir			forfadhir (0)			forfaþir
war			var (0.666667)			vara
enoch			enoch (0)			Enok
siwnde			siwnde (0)			siunde
adam			adam (0)			Adam
enoch			enoch (0)			Enok
matusale			matusale (0)			Methusalem
matusale			matusale (0)			Methusalem
lamet			lamet (0)			Lemek
lamet			lamet (0)			Lemek
noe			noe (0)			Noa
noe			noe (0)			Noa
war			var (0.666667)			vara
adam			adam (0)			Adam
fra			fräghna (1)			fran
adam			adam (0)			Adam
sidhan			sidhan (0)			siþan
war			var (0.666667)			vara
noe			noe (0)			Noa
ræknas			ræknas (0)			räkna
thu			thu (0)			tver
thusanda			thusanda (0)			þusand
thu			thu (0)			tver
hundrada			hundrada (0)			hundraþ
xl			xl (0)			40
iiij			iiij (0)			4
hær			hær (0)			här
ændas			ændas (0)			ändas
første			første (0)			fyrster
wærldenna			wærldenna (0)			väruld
aldhir			aldhir (0)			alder
noe			noe (0)			Noa
føddis			føddis (0)			föþa
føre			føre (0)			fyr
noe			noe (0)			Noa
flodh			flodh (0)			floþ
thre			trä (0.5)			þrir
the			til (0.666667)			þän
ensamne			ensamne (0)			ensamber
hiøllo			hiøllo (0)			halda
liffwit			liffwit (0)			lif
j			j (0)			i
arkenne			arkenne (0)			ark
konom			konom (0)			kona
kommo			kommo (0)			koma
sidhan			sidhan (0)			siþan
iordhrikis			iordhrikis (0)			iorþrike
slæctir			slæctir (0)			släkt
bygdis			bygdis (0)			byggia
alt			alt (0)			alder
iordherike			iordherike (0)			iorþrike
æptir			æptir (0)			äptir
thria			thria (0)			þrir
slæktir			slæktir (0)			släkt
skiptes			skiptes (0)			skipta
hemberen			hemberen (0)			hember
thry			thry (0)			þrir
sæm			sæm (0)			Sem
noe			noe (0)			Noa
kommo			kommo (0)			koma
alle			alle (0)			alder
the			til (0.666667)			þän
j			j (0)			i
grekland			grekland (0)			Grekland
iørssala			iørssala (0)			Jerusalem
siriam			siriam (0)			Syrien
kaldeam			kaldeam (0)			Kaldeen
indiam			indiam (0)			Indien
blamanna			blamanna (0)			blaman
landh			landh (0)			land
tartara			tartara (0)			tartar
ryisalandh			ryisalandh (0)			Ryssland
hethir			hethir (0)			heta
thæn			thæn (0)			þän
delen			delen (0)			del
wærldenne			wærldenne (0)			väruld
asia			asia (0)			Asia
wæl			wæl (0)			väl
halffwir			halffwir (0)			halver
wærldenna			wærldenna (0)			väruld
iafeth			iafeth (0)			Jafet
kommo			kommo (0)			koma
alle			alle (0)			alder
the			til (0.666667)			þän
j			j (0)			i
swærike			swærike (0)			Sverige
danmark			danmark (0)			Danmark
norghe			norghe (0)			Norge
landhin			landhin (0)			land
om kringh			om kringh (0)			umkring
mællan			mællan (0)			mällom
iorsala			iorsala (0)			Jerusalem
haff			haff (0)			haf
mællan			mællan (0)			mällom
wæstra			wæstra (0)			västre
haff			haff (0)			haf
østra			østra (0)			östre
hethir			hethir (0)			heta
thæn			thæn (0)			þän
delen			delen (0)			del
wærldenne			wærldenne (0)			väruld
europa			europa (0)			Europa
sighir			sighir (0)			sighia
ysidorus			ysidorus (0)			Isidor
en			än (0.666667)			en
mæstare			mæstare (0)			mästare
biscoppir			biscoppir (0)			biskoper
yspania			yspania (0)			Spanien
wtkommen			wtkommen (0)			utkoma
wæsgøtom			wæsgøtom (0)			*västgotar
at			ägha (0.5)			at
flæst			flæst (0)			flere
europa			europa (0)			Europa
ær			ær (0)			vara
komen			komin (1)			koma+af
gøtom			gøtom (0)			gotar
gøtar			gøtar (0)			gotar
magog			magog (0)			Magog
suna syni			suna syni (0)			sonar son
iafeth			iafeth (0)			Jafet
thz			thz (0)			þän
maa			maa (0)			magha
ther mz			ther mz (0)			þär mäþ
prøffwas			prøffwas (0)			pröva
at			ägha (0.5)			at
mankønet			mankønet (0)			mankyn
økxladhis			økxladhis (0)			öxla
alt			alt (0)			alder
æpte			æpte (0)			äptir
noe			noe (0)			Noa
flodh			flodh (0)			floþ
førsth			førsth (0)			fyrst
hinwagh			hinwagh (0)			hinvägh
iorsala			iorsala (0)			Jerusalem
haff			haff (0)			haf
thy at			thy at (0)			þy at
liggir			liggir (0)			liggia
armenia			armenia (0)			Armenien
arkin			arkin (0)			ark
stadnadhe			stadnadhe (0)			staþna
æffte			æffte (0)			äptir
flodhena			flodhena (0)			floþ
ær			ær (0)			vara
thæs			thæs (0)			þän
mere			mär (1)			mere
waan			vinna (1)			vatn
at			ägha (0.5)			at
mæn			mæn (0)			maþer
taghar			taghar (0)			þaghar
ledhona			ledhona (0)			leþ
offwir			offwir (0)			ivir
haffwit			haffwit (0)			haf
waro			var (1)			vara
mæn			mæn (0)			maþer
taghar			taghar (0)			þaghar
konstoge			konstoge (0)			konstogher
at			ägha (0.5)			at
gøra			gøra (0)			göra
dromunda			dromunda (0)			dromunder
sigla			sigla (0)			säghl
før			før (0)			for
thy			thydha (0.5)			þän
bygdho			bygdho (0)			byggia
the			til (0.666667)			þän
landhin			landhin (0)			land
først			først (0)			fyr
wæstan			wæstan (0)			västan
jwrsala			jwrsala (0)			Jerusalem
haff			haff (0)			haf
østan			østan (0)			östan
greklandz			greklandz (0)			Grekland
haff			haff (0)			haf
gatu			gatu (0)			gita
kommit			kommit (0)			koma
vmkringh			vmkringh (0)			umkring
greklandz			greklandz (0)			Grekland
haff			haff (0)			haf
før æn			før æn (0)			fyr än
the			til (0.666667)			þän
bygdho			bygdho (0)			byggia
alt			alt (0)			alder
fyri			fyri (0)			for
iffwir			iffwir (0)			ivir
ryzaland			ryzaland (0)			Ryssland
landuæghis			landuæghis (0)			landväghis
sidan			sidan (0)			siþan
swærike			swærike (0)			Sverige
gøtalandh			gøtalandh (0)			Götaland
bygdo			bygdo (0)			byggia
værldena			værldena (0)			väruld
sidhan			sidhan (0)			siþan
swdhir			swdhir (0)			sudher
wæstir			wæstir (0)			väster
wndhir			wndhir (0)			undir
jursula			jursula (0)			Jerusalem
haff			haff (0)			haf
før			før (0)			for
æru			æru (0)			vara
swerike			swerike (0)			Sverige
gøtlandh			gøtlandh (0)			Götaland
ælstu			ælstu (0)			äldre
landh			landh (0)			land
bygdh			bygdh (0)			byggia
thænna			thænna (0)			þänne
wægh			wægh (0)			vägher
jwrsula			jwrsula (0)			Jerusalem
haff			haff (0)			haf
cham			cham (0)			Ham
noe			noe (0)			Noa
kommo			kommo (0)			koma
alle			alle (0)			alder
the			til (0.666667)			þän
wæstan nordhan			wæstan nordhan (0)			västan nordhan
jorsala			jorsala (0)			Jerusalem
haff			haff (0)			haf
hethir			hethir (0)			heta
thæn			thæn (0)			þän
delin			delin (0)			del
wærldenna			wærldenna (0)			väruld
affrica			affrica (0)			Afrika
enom			enom (0)			en
adams			adams (0)			Adam
hethir			hethir (0)			heta
sæth			sæth (0)			Set
ær			ær (0)			vara
alt			alt (0)			alder
mankynit			mankynit (0)			mankyn
wtkommit			wtkommit (0)			utkoma
æpthir			æpthir (0)			äptir
noe			noe (0)			Noa
