TOKEN		OUTPUT			CORRECT
aar			ar (1)			ar
syni			son (1)			son
innan			innan (0)			innan
mz			mäþ (1)			mäþ
oc			ok (1)			ok
innan			innan (0)			innan
aff			af (1)			af
man			maþer (1)			maþer
aff			af (1)			af
aff			af (1)			af
kom			koma (1)			koma
oc			ok (1)			ok
aff			af (1)			af
kom			koma (1)			koma
oc			ok (1)			ok
aff			af (1)			af
kom			koma (1)			koma
ledde			leþa (1)			leþa
sona			son (1)			son
til			til (0)			til
oc			ok (1)			ok
them			þän (1)			þän
oc			ok (1)			ok
oc			ok (1)			ok
barn			barn (0)			barn
som			sum (1)			sum
aff			af (1)			af
mz			mäþ (1)			mäþ
aar			ar (1)			ar
innan			innan (0)			innan
til			til (0)			til
land			land (0)			land
alla			alder (1)			alder
sina			sin (0.5)			sin
som			sum (1)			sum
aff			af (1)			af
aff			af (1)			af
kom			koma (1)			koma
aff			af (1)			af
kom			koma (1)			koma
aff			af (1)			af
kom			koma (1)			koma
som			sum (1)			sum
aff			af (1)			af
kom			koma (1)			koma
twa			tver (1)			tver
synir			son (1)			son
aff			af (1)			af
oc			ok (1)			ok
son			son (1)			son
han			han (1)			han
mz			mäþ (1)			mäþ
vald			vald (0)			vald
oc			ok (1)			ok
ey			eigh (1)			eigh
mz			mäþ (1)			mäþ
annar			annar (0)			annar
aff			af (1)			af
oc			ok (1)			ok
kom			koma (1)			koma
han			han (1)			han
oc			ok (1)			ok
til			til (0)			til
oc			ok (1)			ok
fingo			fa (1)			fa
thera			þän (1)			þän
oc			ok (1)			ok
enghin			ängin (1)			ängin
til			til (0)			til
rikis			rike (1)			rike
them			þän (1)			þän
kom			koma (1)			koma
til			til (0)			til
rikis			rike (1)			rike
mz			mäþ (1)			mäþ
skipilse			skipilse (0)			skipilse
oc			ok (1)			ok
mz			mäþ (1)			mäþ
oc			ok (1)			ok
fik			fa (1)			fa
hans			han (1)			han
til			til (0)			til
rikis			rike (1)			rike
han			han (1)			han
innan			innan (0)			innan
hans			han (1)			han
oc			ok (1)			ok
fran			fran (0)			fran
oc			ok (1)			ok
til			til (0)			til
aar			ar (1)			ar
minna			minne (1)			minne
fik			fa (1)			fa
oc			ok (1)			ok
priis			pris (1)			pris
aff			af (1)			af
aff			af (1)			af
honom			han (1)			han
man			maþer (1)			maþer
som			sum (1)			sum
iak			iak (0)			iak
enghin			ängin (1)			ängin
madhir			maþer (1)			maþer
them			þän (1)			þän
ey			eigh (1)			eigh
oc			ok (1)			ok
enghen			ängin (1)			ängin
them			þän (1)			þän
honom			han (1)			han
inghen			ängin (1)			ängin
matto			magha (1)			magha
nakot			nokor (1)			nokor
gen			gen (0)			gen
honom			han (1)			han
oc			ok (1)			ok
enghin			ängin (1)			ängin
madhir			maþer (1)			maþer
sinom			sin (1)			sin
matto			magha (1)			magha
minna			minne (1)			minne
aff			af (1)			af
kom			koma (1)			koma
riker			riker (0)			riker
oc			ok (1)			ok
sin			sin (0.6)			sin
fadhir			faþir (1)			faþir
aff			af (1)			af
kom			koma (1)			koma
aff			af (1)			af
kom			koma (1)			koma
aff			af (1)			af
kom			koma (1)			koma
aff			af (1)			af
kom			koma (1)			koma
aff			af (1)			af
kom			koma (1)			koma
aff			af (1)			af
kom			koma (1)			koma
aff			af (1)			af
kom			koma (1)			koma
aff			af (1)			af
kom			koma (1)			koma
aff			af (1)			af
kom			koma (1)			koma
aff			af (1)			af
kom			koma (1)			koma
oc			ok (1)			ok
ther			þär (1)			þär
til			til (0)			til
han			han (1)			han
aff			af (1)			af
innan			innan (0)			innan
mz			mäþ (1)			mäþ
ther			þär (1)			þär
han			han (1)			han
oc			ok (1)			ok
aff			af (1)			af
oc			ok (1)			ok
vart			varþa (1)			varþa
oc			ok (1)			ok
vart			varþa (1)			varþa
aff			af (1)			af
kom			koma (1)			koma
oc			ok (1)			ok
allan			alder (1)			alder
sin			sin (0.6)			sin
som			sum (1)			sum
hans			han (1)			han
fadhir			faþir (1)			faþir
han			han (1)			han
aff			af (1)			af
kom			koma (1)			koma
aff			af (1)			af
allom			alder (1)			alder
aff			af (1)			af
tre			þrir (1)			þrir
huar			hvar (1)			hvar
het			heta (0.5)			heta
annar			annar (0)			annar
tridhi			þriþi (1)			þriþi
til			til (0)			til
thera			þän (1)			þän
fadhir			faþir (1)			faþir
vart			varþa (1)			varþa
swa			sva (1)			sva
oc			ok (1)			ok
han			han (1)			han
han			han (1)			han
aff			af (1)			af
kom			koma (1)			koma
til			til (0)			til
oc			ok (1)			ok
han			han (1)			han
oc			ok (1)			ok
lagde			läggia (1)			läggia
hans			han (1)			han
land			land (0)			land
huart			hvar (1)			hvar
aar			ar (1)			ar
til			til (0)			til
oc			ok (1)			ok
gul			gul (0)			gul
oc			ok (1)			ok
hans			han (1)			han
brodhir			broþir (1)			broþir
til			til (0)			til
ey			eigh (1)			eigh
hans			han (1)			han
propheta			propheta (0)			propheta
honom			han (1)			han
han			han (1)			han
ey			eigh (1)			eigh
ther			þär (1)			þär
propheta			propheta (0)			propheta
til			til (0)			til
alla			alder (1)			alder
oc			ok (1)			ok
til			til (0)			til
alla			alder (1)			alder
aar			ar (1)			ar
oc			ok (1)			ok
iak			iak (0)			iak
oc			ok (1)			ok
iak			iak (0)			iak
war			var (0.666667)			var
swa			sva (1)			sva
til			til (0)			til
iak			iak (0)			iak
skal			skula (1)			skula
land			land (0)			land
aff			af (1)			af
han			han (1)			han
skal			skula (1)			skula
oc			ok (1)			ok
til			til (0)			til
land			land (0)			land
oc			ok (1)			ok
ther			þär (1)			þär
aar			ar (1)			ar
hans			han (1)			han
han			han (1)			han
aff			af (1)			af
thera			þän (1)			þän
oc			ok (1)			ok
han			han (1)			han
inne			inne (0)			inne
ther			þär (1)			þär
til at			til at (0)			til at
han			han (1)			han
skulde			skula (1)			skula
ey			eigh (1)			eigh
oppenbarlika			opinbarlika (1)			opinbarlika
sin			sin (0.6)			sin
mz			mäþ (1)			mäþ
han			han (1)			han
aff			af (1)			af
hans			han (1)			han
mwnne			munder (1)			munder
all			alder (1)			alder
hans			han (1)			han
innan			innan (0)			innan
bok			bok (0)			bok
til			til (0)			til
iak			iak (0)			iak
tak			taka (1)			taka
bok			bok (0)			bok
oc			ok (1)			ok
ther			þär (1)			þär
komma			koma (1)			koma
innan			innan (0)			innan
aff			af (1)			af
toko			taka (1)			taka
aff			af (1)			af
oc			ok (1)			ok
ryma			ryma (0)			ryma
mz			mäþ (1)			mäþ
finge			fa (1)			fa
aff			af (1)			af
han			han (1)			han
mz			mäþ (1)			mäþ
oc			ok (1)			ok
oc			ok (1)			ok
amot			amot (0)			amot
oc			ok (1)			ok
lata			lata (0)			lata
oc			ok (1)			ok
war			var (0.666667)			var
them			þän (1)			þän
hans			han (1)			han
som			sum (1)			sum
oc			ok (1)			ok
ther			þär (1)			þär
til			til (0)			til
amot			amot (0)			amot
som			sum (1)			sum
aldrigh			aldrigh (0)			aldrigh
skulde			skula (1)			skula
son			son (1)			son
aff			af (1)			af
honom			han (1)			han
til			til (0)			til
rikis			rike (1)			rike
kom			koma (1)			koma
til			til (0)			til
oc			ok (1)			ok
som			sum (1)			sum
oc			ok (1)			ok
mz			mäþ (1)			mäþ
honom			han (1)			han
innan bland			innan bland (0)			innan bland
thera			þän (1)			þän
hans			han (1)			han
sina			sin (0.5)			sin
mz			mäþ (1)			mäþ
han			han (1)			han
om			um (1)			um
til			til (0)			til
oc			ok (1)			ok
ey			eigh (1)			eigh
skatta			skatta (0)			skatta
som			sum (1)			sum
han			han (1)			han
til			til (0)			til
oc			ok (1)			ok
fik			fa (1)			fa
mz			mäþ (1)			mäþ
oc			ok (1)			ok
kasta			kasta (0)			kasta
oc			ok (1)			ok
doo			döia (1)			döia
hans			han (1)			han
syni			son (1)			son
som			sum (1)			sum
oc			ok (1)			ok
kom			koma (1)			koma
han			han (1)			han
til			til (0)			til
som			sum (1)			sum
propheta			propheta (0)			propheta
honom			han (1)			han
oc			ok (1)			ok
oc			ok (1)			ok
oc			ok (1)			ok
hans			han (1)			han
modhir			moþir (1)			moþir
til			til (0)			til
mz			mäþ (1)			mäþ
oc			ok (1)			ok
mz			mäþ (1)			mäþ
them			þän (1)			þän
oc			ok (1)			ok
til			til (0)			til
oc			ok (1)			ok
son			son (1)			son
oc			ok (1)			ok
honom			han (1)			han
oc			ok (1)			ok
hans			han (1)			han
rike			rike (0)			rike
skulde			skula (1)			skula
innan			innan (0)			innan
skaman			skamber (1)			skamber
aff			af (1)			af
ensamin			ensamin (1)			ensamin
oc			ok (1)			ok
honom			han (1)			han
sant			sander (1)			sander
trode			troa (1)			troa
oc			ok (1)			ok
ey			eigh (1)			eigh
skatta			skatta (0)			skatta
kom			koma (1)			koma
oc			ok (1)			ok
swa			sva (1)			sva
war			var (0.666667)			var
iak			iak (0)			iak
oc			ok (1)			ok
iak			iak (0)			iak
hwem			hvar (1)			hvar
iak			iak (0)			iak
iak			iak (0)			iak
all			alder (1)			alder
land			land (0)			land
oc			ok (1)			ok
hwa			hvar (1)			hvar
som			sum (1)			sum
ey			eigh (1)			eigh
honom			han (1)			han
han			han (1)			han
skal			skula (1)			skula
illa			illa (0)			illa
fara			fara (1)			fara
oc			ok (1)			ok
som			sum (1)			sum
wilen			vilia (1)			vilia
ey			eigh (1)			eigh
illa			illa (0)			illa
fara			fara (1)			fara
mz			mäþ (1)			mäþ
them			þän (1)			þän
propheta			propheta (0)			propheta
han			han (1)			han
eet			en (1)			en
innan			innan (0)			innan
sina			sin (0.5)			sin
oc			ok (1)			ok
oc			ok (1)			ok
swa			sva (1)			sva
war			var (0.666667)			var
swa			sva (1)			sva
skal			skula (1)			skula
iak			iak (0)			iak
bryta			bryta (0)			bryta
innan			innan (0)			innan
aar			ar (1)			ar
oc			ok (1)			ok
skal			skula (1)			skula
til			til (0)			til
som			sum (1)			sum
folk			folk (0)			folk
oc			ok (1)			ok
swa			sva (1)			sva
matte			magha (0.5)			magha
wardha			varþa (1)			varþa
som			sum (1)			sum
oc			ok (1)			ok
folk			folk (0)			folk
them			þän (1)			þän
lygn			lyghn (1)			lyghn
skalt			skula (1)			skula
oc			ok (1)			ok
ey			eigh (1)			eigh
doo			döia (1)			döia
som			sum (1)			sum
honom			han (1)			han
aff			af (1)			af
hans			han (1)			han
oc			ok (1)			ok
oc			ok (1)			ok
til			til (0)			til
sin			sin (0.6)			sin
mz			mäþ (1)			mäþ
til			til (0)			til
som			sum (1)			sum
til			til (0)			til
oc			ok (1)			ok
them			þän (1)			þän
ther			þär (1)			þär
boa			boa (0)			boa
mz			mäþ (1)			mäþ
oc			ok (1)			ok
oc			ok (1)			ok
honom			han (1)			han
oc			ok (1)			ok
hans			han (1)			han
rike			rike (0)			rike
matto			magha (1)			magha
niuta			niuta (0)			niuta
hans			han (1)			han
oc			ok (1)			ok
boa			boa (0)			boa
mz			mäþ (1)			mäþ
oc			ok (1)			ok
them			þän (1)			þän
skuldo			skula (1)			skula
ther			þär (1)			þär
boa			boa (0)			boa
aar			ar (1)			ar
oc			ok (1)			ok
mz			mäþ (1)			mäþ
fridhi			friþer (1)			friþer
til			til (0)			til
oc			ok (1)			ok
land			land (0)			land
oc			ok (1)			ok
innan bland			innan bland (0)			innan bland
oc			ok (1)			ok
oc			ok (1)			ok
honom			han (1)			han
til			til (0)			til
oc			ok (1)			ok
amot			amot (0)			amot
oc			ok (1)			ok
honom			han (1)			han
kom			koma (1)			koma
oc			ok (1)			ok
meer			mer (1)			mer
aar			ar (1)			ar
prophete			prophete (0)			prophete
amot			amot (0)			amot
honom			han (1)			han
illa			illa (0)			illa
oc			ok (1)			ok
han			han (1)			han
innan			innan (0)			innan
torn			torn (0)			torn
fangin			fa (1)			fa
om			um (1)			um
enghin			ängin (1)			ängin
innan			innan (0)			innan
sin			sin (0.6)			sin
eghin			eghin (0)			eghin
barn			barn (0)			barn
som			sum (1)			sum
ytre			ytre (1)			ytre
aff			af (1)			af
oc			ok (1)			ok
hans			han (1)			han
mz			mäþ (1)			mäþ
honom			han (1)			han
han			han (1)			han
oc			ok (1)			ok
til			til (0)			til
sin			sin (0.6)			sin
hans			han (1)			han
hans			han (1)			han
syni			son (1)			son
oc			ok (1)			ok
aff			af (1)			af
oc			ok (1)			ok
hans			han (1)			han
oc			ok (1)			ok
han			han (1)			han
hans			han (1)			han
oc			ok (1)			ok
oc			ok (1)			ok
til			til (0)			til
nu			nu (0)			nu
rike			rike (0)			rike
oc			ok (1)			ok
thera			þän (1)			þän
rike			rike (0)			rike
oc			ok (1)			ok
aar			ar (1)			ar
oc			ok (1)			ok
aar			ar (1)			ar
oc			ok (1)			ok
oc			ok (1)			ok
oc			ok (1)			ok
allan			alder (1)			alder
oc			ok (1)			ok
alla			alder (1)			alder
til			til (0)			til
them			þän (1)			þän
han			han (1)			han
han			han (1)			han
han			han (1)			han
fara			fara (1)			fara
til			til (0)			til
mz			mäþ (1)			mäþ
honom			han (1)			han
mz			mäþ (1)			mäþ
oc			ok (1)			ok
huar			hvar (1)			hvar
han			han (1)			han
innan			innan (0)			innan
innan			innan (0)			innan
man			maþer (1)			maþer
aff			af (1)			af
het			heta (0.5)			heta
han			han (1)			han
rymder			ryma (1)			ryma
aff			af (1)			af
han			han (1)			han
mz			mäþ (1)			mäþ
makt			makt (0)			makt
aff			af (1)			af
aff			af (1)			af
kom			koma (1)			koma
mz			mäþ (1)			mäþ
oc			ok (1)			ok
som			sum (1)			sum
sato			sitia (1)			sitia
innan			innan (0)			innan
aff			af (1)			af
oc			ok (1)			ok
them			þän (1)			þän
judei			judei (0)			judei
oc			ok (1)			ok
saman			saman (0)			saman
mz			mäþ (1)			mäþ
oc			ok (1)			ok
oc			ok (1)			ok
til			til (0)			til
som			sum (1)			sum
thera			þän (1)			þän
foro			fara (1)			fara
land			land (0)			land
ther			þär (1)			þär
aff			af (1)			af
oc			ok (1)			ok
aff			af (1)			af
oc			ok (1)			ok
striddhe			striþa (1)			striþa
aff			af (1)			af
aff			af (1)			af
swa			sva (1)			sva
som			sum (1)			sum
propheta			propheta (0)			propheta
innan			innan (0)			innan
wardh			varþa (1)			varþa
han			han (1)			han
skuldo			skula (1)			skula
oc			ok (1)			ok
innan			innan (0)			innan
aff			af (1)			af
oc			ok (1)			ok
han			han (1)			han
skulle			skula (1)			skula
som			sum (1)			sum
han			han (1)			han
land			land (0)			land
egyptu			egyptu (0)			egyptu
han			han (1)			han
oc			ok (1)			ok
honom			han (1)			han
han			han (1)			han
thera			þän (1)			þän
skuldu			skula (1)			skula
oc			ok (1)			ok
brysta			brista (1)			brista
een			en (0.5)			en
barn			barn (0)			barn
oc			ok (1)			ok
thera			þän (1)			þän
oc			ok (1)			ok
innan			innan (0)			innan
sino			sin (0.5)			sin
oc			ok (1)			ok
them			þän (1)			þän
oc			ok (1)			ok
mz			mäþ (1)			mäþ
oc			ok (1)			ok
sinom			sin (1)			sin
ther			þär (1)			þär
hans			han (1)			han
aff			af (1)			af
han			han (1)			han
kom			koma (1)			koma
han			han (1)			han
for			for (0.5)			for
om			um (1)			um
oc			ok (1)			ok
hans			han (1)			han
been			ben (1)			ben
oc			ok (1)			ok
hans			han (1)			han
oc			ok (1)			ok
them			þän (1)			þän
til			til (0)			til
oc			ok (1)			ok
ther			þär (1)			þär
iordha			iorþa (1)			iorþa
oc			ok (1)			ok
aff			af (1)			af
them			þän (1)			þän
matte			magha (0.5)			magha
ther			þär (1)			þär
swa			sva (1)			sva
som			sum (1)			sum
oc			ok (1)			ok
oc			ok (1)			ok
oc			ok (1)			ok
folk			folk (0)			folk
oc			ok (1)			ok
alla			alder (1)			alder
ther			þär (1)			þär
han			han (1)			han
til			til (0)			til
aar			ar (1)			ar
aff			af (1)			af
satte			sätia (1)			sätia
land			land (0)			land
mz			mäþ (1)			mäþ
innan			innan (0)			innan
han			han (1)			han
aff			af (1)			af
them			þän (1)			þän
som			sum (1)			sum
til			til (0)			til
mz			mäþ (1)			mäþ
som			sum (1)			sum
nampn			namn (1)			namn
swa			sva (1)			sva
som			sum (1)			sum
hans			han (1)			han
fadhir			faþir (1)			faþir
som			sum (1)			sum
oc			ok (1)			ok
nampn			namn (1)			namn
innan			innan (0)			innan
propheta			propheta (0)			propheta
mz			mäþ (1)			mäþ
oc			ok (1)			ok
aff			af (1)			af
honom			han (1)			han
han			han (1)			han
oc			ok (1)			ok
drak			drikka (1)			drikka
litet			litil (1)			litil
oc			ok (1)			ok
han			han (1)			han
oc			ok (1)			ok
swa			sva (1)			sva
aff			af (1)			af
han			han (1)			han
huru			huru (0)			huru
han			han (1)			han
han			han (1)			han
saman			saman (0)			saman
alla			alder (1)			alder
oc			ok (1)			ok
them			þän (1)			þän
honom			han (1)			han
oc			ok (1)			ok
hans			han (1)			han
enghin			ängin (1)			ängin
honom			han (1)			han
kwnne			kunna (1)			kunna
til			til (0)			til
nakrom			nokor (1)			nokor
manne			maþer (1)			maþer
innan			innan (0)			innan
hymblom			himil (1)			himil
som			sum (1)			sum
lyser			lysa (1)			lysa
oc			ok (1)			ok
wiser			visa (1)			visa
han			han (1)			han
mz			mäþ (1)			mäþ
warda			varþa (1)			varþa
skal			skula (1)			skula
thina			þin (1)			þin
skal			skula (1)			skula
warda			varþa (1)			varþa
oc			ok (1)			ok
huilke			hvilikin (1)			hvilikin
skulu			skula (1)			skula
oc			ok (1)			ok
hur			huru (1)			huru
rike			rike (0)			rike
skal			skula (1)			skula
standa			standa (0)			standa
swa			sva (1)			sva
all			alder (1)			alder
rike			rike (0)			rike
war			var (0.666667)			var
mz			mäþ (1)			mäþ
eet			en (1)			en
statua			statua (0)			statua
oc			ok (1)			ok
aff			af (1)			af
gulle			gul (1)			gul
oc			ok (1)			ok
aff			af (1)			af
aff			af (1)			af
eer			er (1)			er
aff			af (1)			af
aff			af (1)			af
oc			ok (1)			ok
som			sum (1)			sum
oc			ok (1)			ok
gul			gul (0)			gul
oc			ok (1)			ok
rike			rike (0)			rike
swa			sva (1)			sva
som			sum (1)			sum
rike			rike (0)			rike
rike			rike (0)			rike
som			sum (1)			sum
rike			rike (0)			rike
oc			ok (1)			ok
aldrigh			aldrigh (0)			aldrigh
swa			sva (1)			sva
som			sum (1)			sum
rike			rike (0)			rike
cyri			cyri (0)			cyri
oc			ok (1)			ok
som			sum (1)			sum
twa			tver (1)			tver
huar			hvar (1)			hvar
oc			ok (1)			ok
som			sum (1)			sum
rike			rike (0)			rike
tridhia			þriþi (1)			þriþi
aff			af (1)			af
eer			er (1)			er
mz			mäþ (1)			mäþ
eer			er (1)			er
skal			skula (1)			skula
oc			ok (1)			ok
alla			alder (1)			alder
mz			mäþ (1)			mäþ
eer			er (1)			er
oc			ok (1)			ok
kopar			kopar (0)			kopar
som			sum (1)			sum
lyudh			liuþ (1)			liuþ
aff			af (1)			af
innan			innan (0)			innan
skaman			skamber (1)			skamber
aff			af (1)			af
rike			rike (0)			rike
swa			sva (1)			sva
oc			ok (1)			ok
all			alder (1)			alder
swa			sva (1)			sva
som			sum (1)			sum
allan			alder (1)			alder
mz			mäþ (1)			mäþ
oc			ok (1)			ok
om			um (1)			um
oc			ok (1)			ok
oc			ok (1)			ok
sinna			sin (0.5)			sin
swa			sva (1)			sva
som			sum (1)			sum
opta			opta (0)			opta
oc			ok (1)			ok
oc			ok (1)			ok
swa			sva (1)			sva
oc			ok (1)			ok
sten			sten (0)			sten
kom			koma (1)			koma
aff			af (1)			af
manz hand			manz hand (0)			manz hand
oc			ok (1)			ok
fira			fiurir (1)			fiurir
aff			af (1)			af
oc			ok (1)			ok
kom			koma (1)			koma
manz hand			manz hand (0)			manz hand
bland			bland (0)			bland
om			um (1)			um
skal			skula (1)			skula
war			var (0.666667)			var
innan			innan (0)			innan
oc			ok (1)			ok
kirkio			kirkia (1)			kirkia
oc			ok (1)			ok
oc			ok (1)			ok
aldrigh			aldrigh (0)			aldrigh
oc			ok (1)			ok
oc			ok (1)			ok
honom			han (1)			han
oc			ok (1)			ok
all			alder (1)			alder
rike			rike (0)			rike
swa			sva (1)			sva
mz			mäþ (1)			mäþ
hans			han (1)			han
tree			þrir (1)			þrir
oc			ok (1)			ok
wordho			varþa (1)			varþa
oc			ok (1)			ok
han			han (1)			han
hedhin			heþin (1)			heþin
oc			ok (1)			ok
nakor			nokor (1)			nokor
huru			huru (0)			huru
war			var (0.666667)			var
han			han (1)			han
mz			mäþ (1)			mäþ
sin			sin (0.6)			sin
swa			sva (1)			sva
som			sum (1)			sum
mz			mäþ (1)			mäþ
hans			han (1)			han
syni			son (1)			son
oc			ok (1)			ok
oc			ok (1)			ok
mz			mäþ (1)			mäþ
androm			annar (1)			annar
oc			ok (1)			ok
han			han (1)			han
swa			sva (1)			sva
oc			ok (1)			ok
ther			þär (1)			þär
mz			mäþ (1)			mäþ
war			var (0.666667)			var
mz			mäþ (1)			mäþ
honom			han (1)			han
sina			sin (0.5)			sin
syni			son (1)			son
oc			ok (1)			ok
folk			folk (0)			folk
thera			þän (1)			þän
oc			ok (1)			ok
them			þän (1)			þän
oc			ok (1)			ok
han			han (1)			han
baal			bal (0.666667)			bal
oc			ok (1)			ok
oc			ok (1)			ok
allom			alder (1)			alder
